batterId,playerId,name
425660,425660,"Morban, Jose (425660)"
425661,425661,"Paulino, Ronny (425661)"
425667,425667,"Pressley, Joshua (425667)"
425766,425766,"Loney, James (425766)"
425769,425769,"Alfonzo, Eliezer (425769)"
425783,425783,"Choo, Shin-Soo (425783)"
425784,425784,"Rivera, Rene (425784)"
425792,425792,"Castro, Ramon (425792)"
425797,425797,"Cabrera, Raymond (425797)"
425821,425821,"Linden, Todd (425821)"
425824,425824,"Chavez, Angel (425824)"
425825,425825,"Mendoza, Carlos (425825)"
425842,425842,"Aceves, Jonathan (425842)"
425854,425854,"Robles, Oscar (425854)"
425864,425864,"Ojeda, Miguel (425864)"
425865,425865,"Bozied, Robert (425865)"
425877,425877,"Molina, Yadier (425877)"
425900,425900,"Navarro, Dioner (425900)"
425902,425902,"Fielder, Prince (425902)"
425904,425904,"Rodriguez, Luis (425904)"
428642,428642,"Montanez, Luis (428642)"
429400,429400,"Loewen, Adam (429400)"
429663,429663,"Burke, Christopher (429663)"
429664,429664,"Cano, Robinson (429664)"
429665,429665,"Encarnacion, Edwin (429665)"
429708,429708,"Marte, Andy (429708)"
429709,429709,"Nivar, Ramon (429709)"
429711,429711,"Gutierrez, Franklin (429711)"
429712,429712,"Pie, Felix (429712)"
429721,429721,"Ring, Roger (429721)"
429801,429801,"Thorman, Scott (429801)"
429806,429806,"Diaz, Victor (429806)"
430041,430041,"Sadler, Raymond (430041)"
430263,430263,"Requena, Alex (430263)"
430321,430321,"Young, Delmon (430321)"
430567,430567,"Watson, Brandon (430567)"
430571,430571,"Gall, John (430571)"
430573,430573,"Costa, Shane (430573)"
430574,430574,"Maier, Mitchell (430574)"
430577,430577,"Duenas, Yovar (430577)"
430584,430584,"Tiffee, Terry (430584)"
430590,430590,"Jimerson, Charlton (430590)"
430591,430591,"Gimenez, Hector (430591)"
430592,430592,"Cedeno, Ronny (430592)"
430593,430593,"Harris, Brendan (430593)"
430596,430596,"Bergolla, William (430596)"
430602,430602,"Yan, Ruddy (430602)"
430603,430603,"Kelly, Donald (430603)"
430612,430612,"Labandeira, John (430612)"
430631,430631,"Abercrombie, Reginald (430631)"
430632,430632,"Aybar, Willy (430632)"
430637,430637,"Johnson, Kelly (430637)"
430640,430640,"Pena, Tony (430640)"
430643,430643,"Joseph, Onil (430643)"
430647,430647,"Smith, Corey (430647)"
430649,430649,"Ochoa, Ivan (430649)"
430652,430652,"Bourgeois, Jason (430652)"
430653,430653,"Knoedler, Justin (430653)"
430667,430667,"Gil, Jerry (430667)"
430669,430669,"Kroeger, Joshua (430669)"
430671,430671,"Lydon, Wayne (430671)"
430672,430672,"Baldiris, Aarom (430672)"
430681,430681,"Johnson, Daniel (430681)"
430686,430686,"Guzman, Freddy (430686)"
430829,430829,"Thompson, Richard (430829)"
430832,430832,"Bautista, Jose (430832)"
430838,430838,"Taveras, Willy (430838)"
430840,430840,"Gonzalez, Luis (430840)"
430894,430894,"Aguila, Christopher (430894)"
430895,430895,"Izturis, Maicer (430895)"
430898,430898,"Alfaro, Jason (430898)"
430899,430899,"Calzado, Napoleon (430899)"
